sorted_countries_species,importances
United States,0.9999818942098602
Australia,1.8105732440533527e-5
-1,2.4898619041431474e-11
Canada,1.8465144170657322e-11
Antarctica,9.971732103076269e-12
Mexico,2.244584557111669e-12
Greenland,1.344016129311332e-12
Russia,7.751962455819621e-13
New Zealand,9.958307800138615e-25
Ecuador,5.763561485204471e-25
"Saint Helena, Ascension en Tristan da Cunha",2.0351982011685206e-25
South Georgia & the South Sandwich Is.,2.3379622873677146e-30
Heard I. & McDonald Is.,1.0135048014587033e-30
South Africa,6.760516745169715e-36
Spain,6.558090912782653e-36
French Southern & Antarctic Lands,5.644139591807294e-36
Colombia,3.0480398829708614e-36
Portugal,5.332596778809857e-37
Indonesia,2.444748877279532e-37
New Caledonia,1.6113030822251429e-37
Chile,8.126895191954235e-38
Bouvet I.,2.1950998549670793e-38
Panama,2.1073903118712978e-38
Ireland,1.8689945051000765e-39
United Kingdom,6.665191680352175e-40
Morocco,2.1838867152960482e-40
France,8.509445522301445e-41
Falkland Islands,3.9985229780392247e-41
Argentina,3.0107520812078783e-41
Uruguay,2.0860803845877615e-41
Iceland,6.037894797489963e-42
Brazil,2.4600683622559233e-42
Italy,8.397246759174526e-43
Pitcairn Is.,6.6672067247272374e-43
French Polynesia,4.683733066947488e-43
Japan,6.282381635766989e-44
Conflict zone Japan/Russia,5.779048167232672e-44
United States Minor Outlying Islands,1.3793592539304338e-44
The Bahamas,4.855240599769888e-45
Costa Rica,4.270214500191324e-45
Clipperton Island,1.9321600487544726e-45
Bermuda,2.509897247500429e-47
Cuba,2.2062650703031114e-47
Dominican Republic,1.4343864112978677e-47
Norfolk I.,8.690092940716163e-48
Cayman Is.,7.718786578218563e-48
Faroe Is.,3.659775798000662e-49
Papua New Guinea,2.1737547776123684e-49
Norway,1.3668584333751039e-49
Reunion,1.2659235448958224e-49
Seychelles,7.245849261317147e-50
Mozambique,6.329617817381125e-50
Netherlands,5.242570111360718e-50
Namibia,3.1193724877133297e-50
Belgium,3.0032999104601723e-50
Germany,1.9423221192439422e-50
Denmark,1.698803462722514e-50
Guatemala,1.2637895595191864e-50
Angola,6.991696921590823e-51
El Salvador,6.318947797595926e-51
Jan Mayen,1.214325163574255e-51
Western Sahara,3.4696024313884115e-52
Cook Is.,6.850651793317784e-56
Tonga,3.4478328849138133e-56
Kiribati,3.425325896628674e-56
Algeria,3.0583451532379045e-56
Turks & Caicos Is.,3.8946232262512956e-57
Jamaica,3.8946231855343165e-57
Joint regime Colombia/Jamaica,3.8946149004510493e-57
Mauritania,3.400005673506845e-57
Senegal,3.399538974104934e-57
Madagascar,4.679531753689566e-58
China,3.351492306063026e-58
Joint regime Japan/Korea,3.351492300802073e-58
South Korea,3.351492300802073e-58
Mauritius,1.8414585431383607e-58
British Indian Ocean Territory,9.499650259351495e-59
Vanuatu,7.5023290081149825e-59
Maldives,1.6821434594132894e-59
India,9.723982720915672e-60
Oman,6.66603058327555e-60
Sri Lanka,5.973652372328076e-60
Somalia,5.919643097929476e-60
Cape Verde,4.255723032666825e-60
Yemen,3.5999990268589553e-60
Cocos Is.,3.08078973385742e-60
Comoros,2.5380272900448264e-60
Mayotte,2.0054877103364957e-60
Tanzania,1.3979391860499236e-60
Iran,1.3813102144547756e-60
The Gambia,1.360852700029887e-60
Kenya,1.1804200524817071e-60
Pakistan,9.645607228957586e-61
Guinea-Bissau,9.165991751732155e-61
Disputed Kenya/Somalia,7.427597287062707e-61
Christmas I.,7.325333275440275e-61
United Arab Emirates,7.193288105940545e-61
Disputed Western Sahara/Mauritania,4.7757219362489346e-61
Myanmar,3.7386270755437606e-61
Joint development area Australia/East Timor,3.595100503352107e-61
Bangladesh,2.7490396732043237e-61
Thailand,2.5670733998407728e-61
Saudi Arabia,2.1063188989187872e-61
Malaysia,1.8822320238660078e-61
Eritrea,7.019997241309547e-62
Sudan,7.0192662282863395e-62
Sierra Leone,1.9468997276387985e-62
Cambodia,1.7122842321530845e-62
Liberia,1.3856519364714556e-62
Guinea,1.123415906969983e-62
Puerto Rico,8.367227752298634e-63
"Virgin Islands, British",8.331839179030129e-63
Nicaragua,8.329117195031194e-63
French Guiana,5.601377885454547e-63
Suriname,5.601377713899552e-63
Qatar,2.2178921612898895e-64
Bahrain,1.930587560613662e-64
Peru,1.0978870223920188e-64
Honduras,9.043686541892316e-65
Anguilla,7.418961187627715e-65
Haiti,5.040233271951986e-65
Belize,4.268826163332162e-65
Antigua & Barbuda,3.266389447131278e-65
Netherlands Antilles,3.1562788204120903e-65
Venezuela,2.716340320311593e-65
Philippines,1.8488689807821489e-65
United States Virgin Islands,1.4192037098792271e-65
Fiji,1.2626822721508284e-65
Kuwait,9.92079402538343e-66
Aruba,8.97437843720491e-66
Djibouti,7.310130232069963e-66
"Bonaire, Sint-Eustasius, Saba",7.27346878766505e-66
Curaçao,6.848044435545556e-66
Vietnam,6.178811786165272e-66
Paracel Islands,6.178468676174829e-66
Spratly Islands,5.653745795778671e-66
Brunei,5.652888020802564e-66
American Samoa,4.845902324259407e-66
Gabon,4.724170148261321e-66
Equatorial Guinea,4.5573802934109773e-66
Benin,4.499553460189651e-66
Ghana,4.499553460189651e-66
Marshall Is.,3.5564998229722734e-66
Micronesia,2.792677977057405e-66
Palau,1.5820601709686607e-66
Guadeloupe,1.4061521429263827e-66
Dominica,1.2650874305325105e-66
Nauru,1.2118186910552948e-66
Northern Marinana Islands-Guam,1.1330339958569055e-66
Timor-Leste,1.051847530725416e-66
Grenada,8.382906384512441e-67
Saint Vincent and the Grenadines,8.379475284608012e-67
Trinidad & Tobago,8.369181984894725e-67
St. Lucia,6.965397060764866e-67
Barbados,5.6940549943213176e-67
St. Kitts & Nevis,2.8350186474951554e-67
Guyana,1.4278026234608654e-67
Congo,1.1205101154300298e-67
Cameroon,9.094548052019844e-68
Nigeria,7.275638441615876e-68
Sao Tome & Principe,3.809374216029399e-68
Joint regime Nigeria/Sao Tome and Principe,1.818909610403969e-68
Martinique,1.543994956993152e-69
Solomon Is.,3.431099904429227e-70
Taiwan,1.7155499522146135e-70
Tuvalu,1.7155499522146135e-70
"Congo, DRC",1.7155499522146135e-70
Greece,1.0577056457616432e-80
Tunisia,4.989177574347373e-81
Malta,3.991342059477899e-81
Libya,3.193073647582319e-81
Croatia,2.993506544608424e-81
Albania,2.3948052356867394e-81
Bosnia & Herzegovina,7.982684118955797e-82
Turkey,3.9913420594778986e-82
Cyprus,1.9956710297389493e-82
Egypt,1.9956710297389493e-82
Israel,1.9956710297389493e-82
San Marino,1.9956710297389493e-82
